amount,currency,researcher
"$138,117,354 ",USD,National Institutes of Health (NIH)
"$91,783,222 ",USD,National Institutes of Health (NIH)
"$12,468,669 ",USD,National Institutes of Health (NIH)
"$9,003,259 ",USD,National Institutes of Health (NIH)
"£7,976,109",GBP,"Lloyd, Charlie"
"$6,622,050 ",USD,National Institutes of Health (NIH)
"$6,340,204 ",USD,National Institutes of Health (NIH)
"$5,782,441 ",USD,National Institutes of Health (NIH)
"$5,704,996 ",USD,National Institutes of Health (NIH)
"$4,457,422 ",USD,National Institutes of Health (NIH)
"$4,336,444 ",USD,National Institutes of Health (NIH)
"$4,292,512 ",USD,National Institutes of Health (NIH)
"$3,999,992 ",USD,National Institutes of Health (NIH)
"$3,898,475 ",USD,National Institutes of Health (NIH)
"$3,451,492 ",USD,National Institutes of Health (NIH)
"$3,276,657 ",USD,National Institutes of Health (NIH)
"£3,024,437",GBP,"Hollfelder, Florian"
"$3,000,000 ",USD,National Institutes of Health (NIH)
"$2,661,654 ",USD,National Institutes of Health (NIH)
"£2,659,015",GBP,"Roudaut, Anne"
"$2,579,672 ",USD,LINDA A DIMEGLIO
"$2,458,472 ",USD,National Institutes of Health (NIH)
"$2,155,924 ",USD,NIMA AGHAEEPOUR
"$2,015,152 ",USD,National Institutes of Health (NIH)
"$1,957,779 ",USD,"Chamberlain, Lisa"
"$1,825,157 ",USD,Katrin F Chua
"$1,800,000 ",USD,Kim Butts-Pauly
"$1,799,384 ",USD,PHILIP A BEACHY
"$1,749,426 ",USD,Katrin I. Andreasson
"$1,602,740 ",USD,National Institutes of Health (NIH)
"$1,416,600 ",USD,Mark A. Skylar-Scott
"$1,416,600 ",USD,Serena Sanulli
"$1,358,699 ",USD,William T Newsome
"$1,220,076 ",USD,ELIZABETH MORMINO
"$1,200,000 ",USD,"Boahen, Kwabena"
"$1,200,000 ",USD,"Fox, Emily"
"$1,165,168 ",USD,JENNIFER A NEWBERRY
"$1,093,644 ",USD,Helen Bronte-Stewart
"$1,090,819 ",USD,National Institutes of Health (NIH)
"$1,087,100 ",USD,Sherri Rose
"$1,075,060 ",USD,SASHA F LEVY
"$1,060,406 ",USD,PAUL S MISCHEL
"$998,991 ",USD,"Xia, Yan"
"$865,673 ",USD,"Dinneny, Jose"
"$853,220 ",USD,Kawin Setsompop
"$803,331 ",USD,Alan Gi-Lun Cheng
"$800,000 ",USD,James Beeson
"$794,261 ",USD,MICHAEL ANDREW FISCHBACH
"$793,927 ",USD,National Institutes of Health (NIH)
"$793,778 ",USD,Suzann Pershing
"$791,321 ",USD,EVERETT MEYER
"$786,998 ",USD,Russell A Poldrack
"$786,485 ",USD,Hadi Hosseini
