amount,currency,researcher
"£269,692",GBP,"Redclift, Victoria"
"$262,249 ",USD,Everett James Moding
"$252,990 ",USD,Julie C Baker
"$250,000 ",USD,"Zhao, Ruike Renee"
"$250,000 ",USD,"Sadigh, Dorsa"
"$250,000 ",USD,"Agrawala, Maneesh"
"$250,000 ",USD,"Sabatti, Chiara"
"$249,000 ",USD,Kacper Rogala
"$247,500 ",USD,"Senesky, Debbie"
"$239,433 ",USD,Anthony J Ricci
"$239,066 ",USD,Maria Barna
"$239,044 ",USD,Vivianne L Tawfik
"$237,964 ",USD,Luis De Lecea
"$236,100 ",USD,CRAIG S LEVIN
"$236,100 ",USD,Corinne Beinat
"$236,100 ",USD,Birgitt Schuele
"$236,100 ",USD,Jelena Obradovic
"$236,100 ",USD,Bingwei Lu
"$236,100 ",USD,Maria Barna
"$232,535 ",USD,Jason Randolph Andrews
"$228,831 ",USD,Erin G Valdez
"$219,788 ",USD,Sindy Kam-Yan Tang
"$216,074 ",USD,Carla J Shatz
"$212,834 ",USD,Shaul Druckmann
"$212,080 ",USD,Sneha Ramakrishna
"CHF208,850",CHF,Lydia Kamenoff
"$206,338 ",USD,JOY Y WU
"$200,000 ",USD,"Lai, Tze"
"$200,000 ",USD,"Hadly, Elizabeth"
"$199,980 ",USD,Michael R Howitt
"$197,355 ",USD,Marie Kubota
"$196,750 ",USD,PAUL L BOLLYKY
"$196,750 ",USD,John Fraser Wright
"$196,750 ",USD,Maryann W Campion
"$196,750 ",USD,Matthew Bogyo
"$196,667 ",USD,LAURA E SIMONS
"$195,276 ",USD,Ekene Enemchukwu
"$195,156 ",USD,Neal Dilip Amin
"$194,076 ",USD,Ananta Addala
"$194,076 ",USD,Michele Lanpher Patel
"$194,076 ",USD,Yair Bannett
"$193,981 ",USD,"Tan, Li-Yang"
"$193,844 ",USD,Lei Stanley Qi
"$193,320 ",USD,Adina Sheri Fischer
"$193,320 ",USD,Arjun Rustagi
"$193,320 ",USD,Joelle Ivy Rosser
"$193,017 ",USD,Yvonne A. Maldonado
"$191,625 ",USD,Xiaojing J Gao
"$184,740 ",USD,Ahmed El Kaffas
"$182,863 ",USD,Lei Stanley Qi
"$180,888 ",USD,Jeremy Dahl
"$179,388 ",USD,Noel Adam Vest
"$179,388 ",USD,Bo Zhou
"$178,192 ",USD,"Fisher, Daniel"
"$177,701 ",USD,"Ying, Lexing"
"$173,858 ",USD,"Lai, Yi"
"$172,605 ",USD,"Hara, Kentaro"
"$172,584 ",USD,Bryce Chiang
"$168,576 ",USD,Kris Prado
"$168,576 ",USD,Jennifer M Ikle
"$168,153 ",USD,National Institutes of Health (NIH)
"$167,076 ",USD,Hoda Abdel Magid
"$167,076 ",USD,Martin R Pfaller
"$166,320 ",USD,Brian Travis Rice
"$165,669 ",USD,PAUL L BOLLYKY
"$160,151 ",USD,"Charity Hudley, Anne"
"$159,885 ",USD,PETER Kent JACKSON
"$158,401 ",USD,Matthew B Pomrenze
"$157,788 ",USD,Gina Bouchard
"$156,125 ",USD,Rui Tang
"£153,023",GBP,"Liu, Xingui"
"$151,901 ",USD,Nicole Mercer Lindsay
"CHF151,500",CHF,Ahmed Elabd
"$150,000 ",USD,"Close, Sigrid"
"$150,000 ",USD,"Yang, Diyi"
"$150,000 ",USD,"Campbell, James"
"$147,262 ",USD,Guolan Lu
"$133,040 ",USD,"Ionel, Eleny-Nicoleta"
"$132,057 ",USD,Michael Belloy
"$132,057 ",USD,Elveda Gozdas
"$131,644 ",USD,Alexandra Nicole Trelle
"CHF130,000",CHF,Kristina Gligoric
"$129,813 ",USD,Brielle Ferguson
"CHF129,000",CHF,Yifan Wang
"CHF128,175",CHF,Narayan Schütz
"$127,940 ",USD,"Simpson, Barbara"
"$127,926 ",USD,Christina B Young
"$126,090 ",USD,Kevin Paul Madore
"CHF126,000",CHF,Despoina Paschalidou
"$125,824 ",USD,Rahel Asfaw Woldeyes
"CHF124,000",CHF,Sungeun Lim
"CHF124,000",CHF,Martin Millon
"CHF123,280",CHF,Tiziano Piccardi
"$122,710 ",USD,"Charity Hudley, Anne"
"$122,578 ",USD,Malene Lindholm
"$121,999 ",USD,Michael Robertson
"CHF121,000",CHF,Mariëlle van Kooten
"CHF120,250",CHF,Roman Sarott
"CHF120,000",CHF,Gabriele Cristelli
"$119,882 ",USD,Roarke Alexander Kamber
"$118,745 ",USD,Caleb Andrew Lareau
"$117,810 ",USD,Morteza Roodgar
"$114,442 ",USD,Jordan Stewart Farrell
"$111,036 ",USD,Maxwell Holte Turner
"$110,277 ",USD,America Facundo
"$108,783 ",USD,Bria Long
"$108,000 ",USD,Bonnie L Halpern-Felsher
"$106,021 ",USD,"Zhu, Xinwen"
"$105,638 ",USD,Diana Remy Dou
"$101,161 ",USD,"Yang, Diyi"
"$100,610 ",USD,MANJULA KURELLA TAMURA
"$100,000 ",USD,Christopher Paul Lapointe
"$100,000 ",USD,Nicholas M Riley
"$100,000 ",USD,Yuan-Chi Huang
"$100,000 ",USD,John Janetzko
"$100,000 ",USD,Michael R Lawson
"$99,999 ",USD,Shuyuan Zhang
"CHF96,000",CHF,Wenfei Sun
"CHF96,000",CHF,Mélanie Hannebelle
"CHF95,000",CHF,Djenet Bousbaine
"CHF88,500",CHF,Hua Dong
"$85,550 ",USD,National Institutes of Health (NIH)
"$2,500 ",USD,"$2,500 "
"$83,050 ",USD,"$83,050 "
"$81,050 ",USD,NEHA SHIRISH JOSHI
"$80,000 ",USD,"Olukotun, Oyekunle"
"$78,746 ",USD,NATALIE TAPASKAR
"$76,246 ",USD,Juliane Krueger
"$70,458 ",USD,Alex R. Dalal
"$69,490 ",USD,Michael Demidenko
"$68,562 ",USD,Jacob M Hull
"$67,582 ",USD,JESSICA A. GREMBI
"$67,582 ",USD,Clare Isabel Abreu
"$67,582 ",USD,Tammy Tran
"$67,174 ",USD,Rachel Elizabeth Turn
"$66,390 ",USD,Po-Yi Ho
"$60,000 ",USD,"Penn, Michael"
"CHF56,639",CHF,Ivo Bantel
"$51,036 ",USD,Joshua Daniel Guild
"$50,000 ",USD,"Lansberg, Maarten"
"$50,000 ",USD,"Xia, Yan"
"$49,716 ",USD,"Hollberg, Leo"
"$46,000 ",USD,"Bent, Stacey"
"$41,065 ",USD,King L. Hung
"$40,352 ",USD,Tyler Bonnen
"$39,771 ",USD,Mackenzie Leigh Carlson
"$39,565 ",USD,Harrison Anthony Besser
"$38,849 ",USD,MICHAEL GREGORY CHAVEZ
"$38,510 ",USD,Samuel H Kim
"$38,510 ",USD,Joel Francis
"$30,000 ",USD,"Vasy, Andras"
"$25,392 ",USD,"Thiranagama, Sharika"
"$18,304 ",USD,"Tarpeh, William"
"$10,000 ",USD,Stanley G Rockson
"$10,000 ",USD,"Ihme, Matthias"
"$10,000 ",USD,"Wootters, Mary"
"$5,500 ",USD,"Keller, Michael"
"$5,500 ",USD,"Keller, Michael"
$1 ,USD,Justin Tyler Marinko
